Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","724","Spain","5110","Area","6620","Cropland","2020","2020","1000 ha","16646.3951","A","Official figure",""
"RL","Land Use","144","Sri Lanka","5110","Area","6620","Cropland","2020","2020","1000 ha","2372","I","Value imputed by a receiving agency",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2020","2020","1000 ha","21211","I","Value imputed by a receiving agency",""
"RL","Land Use","740","Suriname","5110","Area","6620","Cropland","2020","2020","1000 ha","65","A","Official figure",""
"RL","Land Use","752","Sweden","5110","Area","6620","Cropland","2020","2020","1000 ha","2542","A","Official figure",""
"RL","Land Use","756","Switzerland","5110","Area","6620","Cropland","2020","2020","1000 ha","425.0371","A","Official figure",""
"RL","Land Use","760","Syrian Arab Republic","5110","Area","6620","Cropland","2020","2020","1000 ha","5726.617","A","Official figure",""
"RL","Land Use","762","Tajikistan","5110","Area","6620","Cropland","2020","2020","1000 ha","1041","A","Official figure",""
"RL","Land Use","764","Thailand","5110","Area","6620","Cropland","2020","2020","1000 ha","22471.8997","A","Official figure",""
"RL","Land Use","626","Timor-Leste","5110","Area","6620","Cropland","2020","2020","1000 ha","191.4","I","Value imputed by a receiving agency",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2020","2020","1000 ha","2820","I","Value imputed by a receiving agency",""
"RL","Land Use","772","Tokelau","5110","Area","6620","Cropland","2020","2020","1000 ha","0.6","I","Value imputed by a receiving agency",""
"RL","Land Use","776","Tonga","5110","Area","6620","Cropland","2020","2020","1000 ha","31","I","Value imputed by a receiving agency",""
"RL","Land Use","780","Trinidad and Tobago","5110","Area","6620","Cropland","2020","2020","1000 ha","47","I","Value imputed by a receiving agency",""
"RL","Land Use","788","Tunisia","5110","Area","6620","Cropland","2020","2020","1000 ha","4950.5","A","Official figure",""
"RL","Land Use","792","Türkiye","5110","Area","6620","Cropland","2020","2020","1000 ha","23145","A","Official figure",""
"RL","Land Use","795","Turkmenistan","5110","Area","6620","Cropland","2020","2020","1000 ha","1643.6","A","Official figure",""
"RL","Land Use","796","Turks and Caicos Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","798","Tuvalu","5110","Area","6620","Cropland","2020","2020","1000 ha","1.8","I","Value imputed by a receiving agency",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2020","2020","1000 ha","9100","I","Value imputed by a receiving agency",""
"RL","Land Use","804","Ukraine","5110","Area","6620","Cropland","2020","2020","1000 ha","33777","A","Official figure",""
"RL","Land Use","784","United Arab Emirates","5110","Area","6620","Cropland","2020","2020","1000 ha","89.8","A","Official figure",""
"RL","Land Use","826","United Kingdom of Great Britain and Northern Ireland","5110","Area","6620","Cropland","2020","2020","1000 ha","6023.5961","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2020","2020","1000 ha","15521.2","I","Value imputed by a receiving agency",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2020","2020","1000 ha","157015.195","I","Value imputed by a receiving agency",""
"RL","Land Use","850","United States Virgin Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","1.1","I","Value imputed by a receiving agency",""
"RL","Land Use","858","Uruguay","5110","Area","6620","Cropland","2020","2020","1000 ha","2063.4","I","Value imputed by a receiving agency",""
"RL","Land Use","860","Uzbekistan","5110","Area","6620","Cropland","2020","2020","1000 ha","4438.2","A","Official figure",""
"RL","Land Use","548","Vanuatu","5110","Area","6620","Cropland","2020","2020","1000 ha","145","I","Value imputed by a receiving agency",""
"RL","Land Use","862","Venezuela (Bolivarian Republic of)","5110","Area","6620","Cropland","2020","2020","1000 ha","3300","I","Value imputed by a receiving agency",""
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2020","2020","1000 ha","11718","A","Official figure",""
"RL","Land Use","876","Wallis and Futuna Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","732","Western Sahara","5110","Area","6620","Cropland","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","887","Yemen","5110","Area","6620","Cropland","2020","2020","1000 ha","1452","I","Value imputed by a receiving agency",""
